about|about,auto,boat,bout,bat,but,out,tub
angola|along,goal,loan,long,ago,log
animal|animal,lain,mail,main,nail,aim,man
anime|main,mane,mean,mine,name,aim,man
answer|answer,swear,earn,near,news,sewn,wane,warn,wear,ear,era,new,raw,sea,wan,war
apart|apart,part,prat,rapt,trap,apt,art,pat,rap,rat,tap
apnic|panic,pain,can,cap,nip,pan,pin
appeal|appeal,apple,leap,pale,peal,plea,lap
appear|appear,paper,area,rape,ear,era,per,rap
apple|apple,leap,pale,peal,plea,lap
april|pair,rail,air,lap,lip,rap,rip
arabic|arab,air,bar,cab,car,rib
arcade|raced,area,card,care,dare,dear,race,read,car,ear,era,red
arctic|cart,act,air,art,car,cat,rat
arena|arena,area,earn,near,ear,era
argue|argue,gear,rage,urge,age,ear,era
argued|argued,argue,grade,guard,raged,dare,dear,drag,drug,gear,rage,read,urge,age,due,dug,ear,era,red
arise|arise,raise,rise,air,ear,era,sea,sir
armed|armed,dream,dare,dear,read,ream,arm,dam,ear,era,mad,red
arnold|land,load,loan,lord,oral,road,and,dna,nod,nor,old,rod
around|around,round,road,and,dna,nod,nor,our,rod,run
arrest|arrest,stare,east,rare,rate,rear,rest,seat,star,tear,art,ear,eat,era,rat,sea,set,tea
arrive|arrive,river,rare,rear,air,ear,era,via
artist|artist,stair,start,trait,star,stir,air,art,its,rat,sir,sit
ashley|easy,heal,lash,sale,seal,yeah,ash,hay,hey,lay,say,sea,she,shy,sly,yes
aside|aside,aide,aids,idea,side,aid,die,sad,sea
asking|gain,king,sank,sign,sing,sink,skin,ask,gas,sin,ski
aspect|aspect,paces,space,spate,case,cast,east,pace,past,seat,spat,step,tape,act,apt,cap,cat,eat,etc,pat,pet,sea,set,tap,tea
asset|asset,east,seat,ass,eat,sea,set,tea
assets|asset,east,seat,ass,eat,sea,set,tea
assign|assign,gain,sign,sing,ass,gas,sin
assume|assume,mass,mess,same,ass,sea,sue,sum,use
assure|assure,sure,user,ass,ear,era,sea,sue,use
asylum|slam,lay,may,say,sly,sum
athens|ashen,haste,east,hate,heat,neat,nest,seat,than,then,ash,eat,hat,net,sea,set,she,tea,ten,the
attend|attend,date,dent,neat,tend,tent,and,dna,eat,end,net,tea,ten
auburn|urban,barn,burn,ban,bar,bun,rub,run
austin|aunt,suit,unit,its,nut,sin,sit,sun
author|author,auto,hour,hurt,tour,art,hat,hot,our,out,rat
aware|aware,area,wear,ear,era,raw,war
backed|back,bade,bake,cake,deck,bad,bed,cab
backup|back,buck,pack,cab,cap,cup
badge|bade,age,bad,bag,bed,beg
badly|badly,lady,bad,bay,day,lab,lay
baker|brake,break,bake,bare,bear,bar,ear,era
baking|bank,gain,king,bag,ban,big
ballet|bleat,label,table,able,ball,beat,bell,belt,late,tale,tall,tell,all,bat,bet,eat,lab,let,tea
ballot|ballot,ball,boat,bolt,tall,toll,all,bat,lab,lot
bands|band,sand,and,bad,ban,dna,sad
banned|bade,band,bean,bend,and,bad,ban,bed,dna,end
banner|bare,barn,bean,bear,earn,near,ban,bar,ear,era
barbie|bare,bear,air,bar,ear,ebb,era,rib
barely|barely,bleary,early,layer,relay,able,bare,bear,real,rely,year,bar,bay,ear,era,lab,lay
barnes|bare,barn,base,bean,bear,earn,near,ban,bar,ear,era,sea
barrel|barrel,able,bare,bear,rare,real,rear,bar,ear,era,lab
based|bade,base,bad,bed,sad,sea
basket|basket,beast,stake,steak,bake,base,beat,best,east,sake,seat,take,task,ask,bat,bet,eat,sea,set,tea
batch|bath,act,bat,cab,cat,hat
battle|battle,bleat,table,able,beat,belt,late,tale,bat,bet,eat,lab,let,tea
beads|bade,base,bad,bed,sad,sea
bears|bare,base,bear,bar,ear,era,sea
beast|beast,base,beat,best,east,seat,bat,bet,eat,sea,set,tea
beats|beast,base,beat,best,east,seat,bat,bet,eat,sea,set,tea
beauty|beauty,beat,tube,bat,bay,bet,but,buy,eat,tea,tub,yet
beaver|brave,bare,bear,beer,ever,bar,bee,ear,era
before|before,beef,beer,free,bee,fee,for
begins|begin,being,sign,sing,beg,big,sin
behalf|behalf,able,half,heal,leaf,lab
behind|behind,bend,bind,hide,bed,bid,die,din,end
beings|begin,being,sign,sing,beg,big,sin
belief|belief,beef,feel,file,flee,life,bee,fee,lie
belkin|blink,bike,like,line,link,lie
belong|belong,globe,bone,long,beg,ego,leg,log,one
below|below,elbow,blew,blow,bowl,bow,low,owe,web
beside|beside,seed,side,bed,bee,bid,die,see
beyond|beyond,bend,body,bond,bone,deny,bed,boy,end,nod,one
bhutan|aunt,bath,hunt,than,ban,bat,bun,but,hat,nut,tub
bidder|bride,dried,bird,dire,ride,bed,bid,die,red,rib,rid
binary|brain,airy,barn,rain,air,any,ban,bar,bay,rib
bishop|bishop,ship,shop,hip,his,hop
blacks|black,slack,back,lack,sack,ask,cab,lab
blade|blade,able,bade,deal,lead,bad,bed,lab
blades|blade,able,bade,base,deal,lead,sale,seal,bad,bed,lab,sad,sea
blame|blame,able,balm,beam,male,meal,lab
blonde|blend,blond,bend,bold,bond,bone,lend,bed,end,nod,old,one
board|board,broad,road,bad,bar,rod
boards|board,broad,road,soar,bad,bar,rod,sad
boring|boring,bring,born,grin,iron,ring,big,nor,rib
boston|boost,boot,onto,soon,soot,not,son,too
bother|bother,other,throb,both,herb,hero,tore,bet,her,hot,the,toe
bottle|bottle,belt,bolt,bet,let,lot,toe
bought|ought,tough,both,bout,bug,but,gut,hot,hug,out,tub,tug
brain|brain,barn,rain,air,ban,bar,rib
brake|brake,break,bake,bare,bear,bar,ear,era
brakes|brake,break,bake,bare,base,bear,sake,ask,bar,ear,era,sea
branch|branch,ranch,barn,ban,bar,cab,can,car
brand|brand,band,barn,and,bad,ban,bar,dna
brands|brand,band,barn,sand,and,bad,ban,bar,dna,sad
brave|brave,bare,bear,bar,ear,era
breach|breach,beach,reach,bare,bear,care,each,hear,herb,race,bar,cab,car,ear,era,her
bread|bared,beard,bread,bade,bare,bear,dare,dear,read,bad,bar,bed,ear,era,red
break|brake,break,bake,bare,bear,bar,ear,era
breaks|brake,break,bake,bare,base,bear,sake,ask,bar,ear,era,sea
breast|breast,beast,stare,bare,base,bear,beat,best,east,rate,rest,seat,star,tear,art,bar,bat,bet,ear,eat,era,rat,sea,set,tea
breath|breath,earth,heart,bare,bath,bear,beat,hate,hear,heat,herb,rate,tear,art,bar,bat,bet,ear,eat,era,hat,her,rat,tea,the
breeds|beer,deer,seed,bed,bee,red,see
brian|brain,barn,rain,air,ban,bar,rib
bridal|bird,rail,aid,air,bad,bar,bid,lab,lid,rib,rid
bride|bride,bird,dire,ride,bed,bid,die,red,rib,rid
bridge|bridge,bride,ridge,bird,dire,ride,bed,beg,bid,big,die,dig,red,rib,rid
briefs|brief,fiber,fire,rife,rise,rib,sir
bright|bright,birth,right,big,bit,hit,rib
brings|bring,grin,ring,sign,sing,big,rib,sin,sir
broad|board,broad,road,bad,bar,rod
bronze|bronze,bone,born,zero,zone,nor,one
brown|brown,born,bow,nor,now,own,row
browse|worse,rose,bow,owe,row,web
brunei|burn,rein,ruin,bun,rib,rub,run
brutal|brutal,art,bar,bat,but,lab,rat,rub,tub
bryant|barn,tray,any,art,ban,bar,bat,bay,rat,try
budget|budget,debut,debt,tube,bed,beg,bet,bug,but,due,dug,get,gut,tub,tug
bufing|big,bug,bun,fug,fun,gun
bullet|bullet,bell,belt,blue,bull,tell,tube,bet,but,let,tub
bundle|blend,bend,blue,lend,bed,bun,due,end
burden|burden,under,bend,burn,bed,bun,due,end,red,rub,run
bureau|bureau,bare,bear,bar,ear,era,rub
buried|buried,bride,bird,dire,ride,bed,bid,die,due,red,rib,rid,rub
burns|burn,bun,bus,rub,run,sun
burst|burst,bust,bus,but,rub,tub
burton|born,bout,burn,torn,tour,turn,bun,but,nor,not,nut,our,out,rub,run,tub
butler|belt,blue,rule,true,tube,bet,but,let,rub,tub
butter|butter,butt,true,tube,bet,but,rub,tub
button|button,bout,butt,bun,but,not,nut,out,tub
buyers|buyer,bury,busy,sure,user,bus,buy,rub,sue,use,yes
buying|big,bug,bun,buy,gun,guy
cables|cable,scale,able,base,case,sale,seal,cab,lab,sea
cakes|cake,case,sack,sake,ask,sea
called|laced,call,cell,deal,lead,all
camera|camera,cream,area,care,cram,race,ream,arm,car,ear,era
campus|campus,camp,cap,cup,map,sum
cancer|cancer,crane,care,earn,near,race,can,car,ear,era
candle|candle,clean,dance,laced,laden,deal,land,lane,lead,lean,lend,and,can,dna,end
candy|candy,and,any,can,day,dna
carbon|carbon,barn,born,corn,ban,bar,cab,can,car,nor
career|career,care,race,rare,rear,car,ear,era
carey|care,race,year,car,cry,ear,era
caring|grain,gain,grin,rain,ring,air,can,car
carlos|solar,also,coal,oral,soar,car
carmen|crane,cream,care,cram,earn,mane,mean,name,near,race,ream,arm,can,car,ear,era,man
carpet|carpet,crept,react,trace,care,cart,pace,part,prat,race,rape,rapt,rate,tape,tear,trap,act,apt,art,cap,car,cat,ear,eat,era,etc,pat,per,pet,rap,rat,tap,tea
cart|cart,act,art,car,cat,rat
carter|react,trace,care,cart,race,rare,rate,rear,tear,act,art,car,cat,ear,eat,era,etc,rat,tea
casino|casino,coin,icon,scan,can,sin,son
castle|least,scale,stale,steal,case,cast,east,last,late,sale,salt,seal,seat,tale,act,cat,eat,etc,let,sea,set,tea
cattle|cattle,late,tale,act,cat,eat,etc,let,tea
caught|act,cat,cut,gut,hat,hug,tag,tug
cause|cause,sauce,case,cue,sea,sue,use
caused|cause,sauce,case,used,cue,due,sad,sea,sue,use
causes|cause,sauce,case,ass,cue,sea,sue,use
cedar|raced,card,care,dare,dear,race,read,car,ear,era,red
celtic|cite,tile,etc,ice,let,lie,tie
center|center,centre,recent,enter,rent,teen,tree,etc,net,ten
centre|center,centre,recent,enter,rent,teen,tree,etc,net,ten
cents|scent,nest,etc,net,set,ten
chains|chain,cash,chin,scan,ash,can,his,sin
chairs|chair,crash,cash,hair,rich,air,ash,car,his,sir
change|change,cage,each,hang,age,can
chapel|cheap,place,clap,each,heal,help,leap,pace,pale,peal,plea,cap,lap
charge|charge,grace,reach,cage,care,each,gear,hear,race,rage,age,car,ear,era,her
charm|charm,march,cram,harm,arm,car
charms|charm,crash,march,cash,cram,harm,arm,ash,car,mrs
chart|chart,cart,act,art,car,cat,hat,rat
charts|chart,crash,trash,cart,cash,cast,star,act,art,ash,car,cat,hat,rat
chase|chase,case,cash,each,ash,sea,she
cheat|cheat,teach,each,hate,heat,act,cat,eat,etc,hat,tea,the
cheats|chase,cheat,chest,haste,teach,case,cash,cast,each,east,hate,heat,seat,act,ash,cat,eat,etc,hat,sea,set,she,tea,the
cheers|cheers,cheer,sheer,here,hers,her,see,she
chorus|crush,hour,ours,rush,sour,such,our
chosen|shone,echo,nose,once,shoe,ceo,one,she,son
christ|shirt,rich,shit,stir,this,his,hit,its,sir,sit
chrome|come,core,echo,hero,home,more,ceo,her
cinema|main,mane,mean,mine,name,nice,aim,can,ice,man
cited|cite,diet,edit,tide,die,etc,ice,tie
cities|cite,site,etc,ice,its,set,sit,tie
claims|claim,islam,calm,mail,sail,slam,slim,aim
claire|clear,care,race,rail,real,rice,air,car,ear,era,ice,lie
clarke|clear,clerk,cake,care,lack,lake,race,rack,real,car,ear,era
clause|cause,sauce,scale,case,clue,sale,seal,cue,sea,sue,use
clear|clear,care,race,real,car,ear,era
client|client,cite,line,nice,tile,etc,ice,let,lie,net,ten,tie
closed|closed,close,code,cold,dose,lose,sole,ceo,old
closer|closer,close,score,core,lose,role,rose,sole,ceo
closes|close,less,lose,loss,sole,ceo
clouds|cloud,could,cold,loud,soul,old
cloudy|cloud,could,cold,loud,old,you
coast|coast,cast,coat,cost,act,cat
coated|coated,coat,code,date,act,cat,ceo,dot,eat,etc,tea,toe
coding|coin,icon,dig,din,dog,god,nod
collar|collar,local,call,coal,oral,roll,all,car
combat|combat,boat,coat,act,bat,cab,cat
cooper|cope,core,crop,poor,rope,ceo,cop,per,pro
copied|code,cope,ceo,cop,die,dip,ice,pie
copies|copse,poise,scope,cope,pose,ceo,cop,ice,pie
copper|cope,core,crop,rope,ceo,cop,per,pop,pro
corner|corner,core,corn,once,ceo,nor,one
corpus|coup,crop,ours,pour,soup,sour,spur,cop,cup,our,pro
costa|coast,cast,coat,cost,act,cat
counts|count,cost,cut,not,nut,out,son,sun
county|county,count,cut,not,nut,out,toy,you
couple|couple,clue,cope,coup,pole,ceo,cop,cue,cup
course|course,source,score,core,cure,ours,rose,sour,sure,user,ceo,cue,our,sue,use
court|court,curt,tour,cut,our,out
courts|court,cost,curt,ours,sort,sour,tour,cut,our,out
covers|cover,score,core,over,rose,ceo
cradle|clear,laced,raced,card,care,dare,deal,dear,lead,race,read,real,car,ear,era,red
craft|craft,cart,fact,act,art,car,cat,far,fat,rat
crafts|craft,cart,cast,fact,fast,star,act,art,car,cat,far,fat,rat
cream|cream,care,cram,race,ream,arm,car,ear,era
create|create,react,trace,care,cart,race,rate,tear,tree,act,art,car,cat,ear,eat,era,etc,rat,tea
credit|credit,direct,tired,trice,cite,diet,dire,dirt,edit,rice,ride,tide,tire,die,etc,ice,red,rid,tie
crimes|crime,rice,rise,ice,mrs,rim,sir
crowd|crowd,cord,word,cow,rod,row
crown|corn,cow,nor,now,own,row
cruise|cruise,cure,rice,rise,sure,user,cue,ice,sir,sue,use
curtis|curt,stir,suit,cut,its,sir,sit
curves|curve,cure,sure,user,cue,sue,use
custom|custom,cost,most,must,cut,out,sum
daily|daily,lady,aid,day,lay,lid
dairy|diary,airy,yard,aid,air,day,dry,rid
danger|danger,garden,anger,grade,grand,raged,range,dare,dear,drag,earn,gear,near,rage,read,age,and,dna,ear,end,era,red
daniel|denial,nailed,alien,ideal,laden,aide,deal,idea,lain,land,lane,lead,lean,lend,line,nail,aid,and,die,din,dna,end,lid,lie
danish|aids,dish,hand,sand,aid,and,ash,din,dna,his,sad,sin
dare|dare,dear,read,ear,era,red
darwin|inward,drain,drawn,dawn,draw,rain,warn,wind,aid,air,and,din,dna,raw,rid,wan,war,win
dated|date,dead,add,dad,eat,tea
dates|date,east,seat,eat,sad,sea,set,tea
dating|giant,gain,gait,aid,and,dig,din,dna,tag
dayton|today,and,any,day,dna,dot,nod,not,toy
deadly|deadly,delay,dead,deal,eddy,lady,lead,add,dad,day,lay
dealer|dealer,leader,elder,dare,deal,dear,deer,lead,leer,read,real,ear,era,red
deals|deal,lead,sale,seal,sad,sea
dealt|date,deal,late,lead,tale,eat,let,tea
dear|dare,dear,read,ear,era,red
death|death,date,hate,head,heat,eat,hat,tea,the
deaths|death,haste,shade,date,east,hate,head,heat,seat,shed,ash,eat,hat,sad,sea,set,she,tea,the
debate|debate,bated,bade,beat,date,debt,bad,bat,bed,bee,bet,eat,tea
debian|aide,bade,band,bean,bend,bind,idea,aid,and,bad,ban,bed,bid,die,din,dna,end
debut|debut,debt,tube,bed,bet,but,due,tub
decent|decent,dent,need,teen,tend,end,etc,net,ten
decor|code,cord,core,ceo,red,rod
deeper|peered,deep,deer,peer,per,red
deeply|deeply,yelped,deep,peel,yelp,eye
defeat|defeat,date,fade,fate,feed,eat,fat,fee,tea
define|define,feed,find,fine,need,die,din,end,fee
delay|delay,deal,lady,lead,day,lay
delays|delay,deal,easy,lady,lead,sale,seal,day,lay,sad,say,sea,sly,yes
delta|date,deal,late,lead,tale,eat,let,tea
demand|demand,damn,dead,mane,mean,name,add,and,dad,dam,dna,end,mad,man
denial|denial,nailed,alien,ideal,laden,aide,deal,idea,lain,land,lane,lead,lean,lend,line,nail,aid,and,die,din,dna,end,lid,lie
dennis|snide,nine,send,side,die,din,end,sin
dense|dense,need,seed,send,end,see
dental|laden,date,deal,dent,land,lane,late,lead,lean,lend,neat,tale,tend,and,dna,eat,end,let,net,tea,ten
denver|nerve,never,deer,even,ever,need,end,red
depot|poet,dot,opt,pet,pot,toe,top
deputy|deputy,duty,type,due,pet,put,yet
desert|desert,steer,deer,rest,seed,tree,red,see,set
design|design,singed,deign,snide,send,side,sign,sing,die,dig,din,end,sin
desire|desire,deer,dire,ride,rise,seed,side,die,red,rid,see,sir
detail|detail,ideal,tidal,aide,date,deal,diet,edit,idea,late,lead,tail,tale,tide,tile,aid,die,eat,let,lid,lie,tea,tie
devil|devil,evil,live,vied,die,lid,lie
dialog|glad,goal,gold,load,ago,aid,dig,dog,god,lid,log,oil,old
diane|aide,idea,aid,and,die,din,dna,end
diary|diary,airy,yard,aid,air,day,dry,rid
dicks|disc,disk,sick,skid,kid,ski
diesel|sidle,slide,else,seed,side,slid,die,lid,lie,see
differ|differ,dire,fire,ride,rife,die,red,rid
digest|diet,edit,side,site,tide,die,dig,get,its,set,sit,tie
dinner|dinner,inner,dire,nine,rein,ride,die,din,end,red,rid
direct|credit,direct,tired,trice,cite,diet,dire,dirt,edit,rice,ride,tide,tire,die,etc,ice,red,rid,tie
dirty|dirty,dirt,tidy,dry,rid,try
dishes|hissed,dish,hide,shed,side,die,his,she
disney|snide,deny,send,side,die,din,end,sin,yes
doctor|doctor,cord,door,root,trod,dot,rod,too
dollar|doll,load,lord,oral,road,roll,all,old,rod
domain|domain,amid,damn,main,mind,aid,aim,and,dam,dim,din,dna,mad,man,nod
donald|land,load,loan,add,and,dad,dna,nod,odd,old
donate|donate,date,dent,neat,note,tend,tone,and,dna,dot,eat,end,net,nod,not,one,tea,ten,toe
donors|donor,door,soon,nod,nor,rod,son
dosage|dose,age,ago,dog,ego,gas,god,sad,sea
double|double,blue,bold,loud,bed,due,old
doubt|doubt,bout,but,dot,out,tub
dozens|dozen,dose,nose,send,zone,end,nod,one,son
draft|draft,dart,art,far,fat,rat
dragon|grand,organ,drag,road,ago,and,dna,dog,god,nod,nor,rod
drain|drain,rain,aid,air,and,din,dna,rid
drawn|drawn,dawn,draw,warn,and,dna,raw,wan,war
dream|armed,dream,dare,dear,read,ream,arm,dam,ear,era,mad,red
dreams|armed,dream,dare,dear,read,ream,same,arm,dam,ear,era,mad,mrs,red,sad,sea
dried|dried,dire,ride,die,red,rid
drinks|drink,disk,kind,risk,sink,skid,skin,din,kid,rid,sin,sir,ski
drive|drive,dire,ride,vied,die,red,rid
driven|drive,dire,rein,ride,vied,die,din,end,red,rid
driver|driver,drive,rider,river,dire,ride,vied,die,red,rid
drives|drive,dire,ride,rise,side,vied,die,red,rid,sir
dublin|blind,build,bind,bid,bun,din,lid
durham|drum,hard,harm,arm,dam,mad,mud
during|during,drug,grin,ring,ruin,dig,din,dug,gun,rid,run
duties|suite,diet,dust,edit,side,site,suit,tide,used,die,due,its,set,sit,sue,tie,use
dylan|lady,land,and,any,day,dna,lay
eagles|ease,else,gale,glee,sale,seal,age,gas,leg,sea,see
early|early,layer,relay,real,rely,year,ear,era,lay
earned|earned,neared,dare,dear,deer,earn,near,need,read,and,dna,ear,end,era,red
earth|earth,heart,hate,hear,heat,rate,tear,art,ear,eat,era,hat,her,rat,tea,the
easier|arise,raise,ease,rise,air,ear,era,sea,see,sir
easily|easily,aisle,easy,sail,sale,seal,lay,lie,say,sea,sly,yes
east|east,seat,eat,sea,set,tea
easter|stare,steer,ease,east,rate,rest,seat,star,tear,tree,art,ear,eat,era,rat,sea,see,set,tea
eating|eating,agent,giant,tinge,gain,gait,gate,neat,age,eat,get,net,tag,tea,ten,tie
edgar|grade,raged,dare,dear,drag,gear,rage,read,age,ear,era,red
editor|editor,tired,diet,dire,dirt,edit,ride,riot,tide,tire,tore,trod,die,dot,red,rid,rod,tie,toe
edward|waded,dare,dead,dear,draw,read,wear,add,dad,ear,era,raw,red,war,wed
effort|effort,offer,fret,tore,for,off,toe
either|either,their,there,three,here,hire,tire,tree,her,hit,the,tie
email|mail,male,meal,mile,aim,lie
emails|aisle,islam,smile,mail,male,meal,mile,sail,sale,same,seal,slam,slim,aim,lie,sea
empire|empire,prime,mere,peer,per,pie,rim,rip
enable|enable,able,bean,lane,lean,ban,bee,lab
ending|deign,nine,die,dig,din,end
energy|energy,genre,green,gene,grey,eye
enough|enough,huge,ego,gun,hue,hug,one
ensure|nurse,sneer,sure,user,run,see,sue,sun,use
enter|enter,rent,teen,tree,net,ten
enters|enter,sneer,steer,stern,nest,rent,rest,teen,tree,net,see,set,ten
entire|entire,enter,inter,rein,rent,teen,tire,tree,net,ten,tie
entity|entity,tent,tiny,net,ten,tie,yet
entry|entry,rent,net,ten,try,yet
epson|nose,open,pose,one,pen,son
equity|equity,quiet,quite,quit,tie,yet
escape|escape,cease,paces,peace,space,case,ease,pace,cap,sea,see
essay|essay,easy,ass,say,sea,yes
essays|essay,easy,ass,say,sea,yes
estate|estate,state,taste,ease,east,seat,test,eat,sea,see,set,tea
ethics|ethics,chest,cite,shit,site,this,etc,his,hit,ice,its,set,she,sit,the,tie
ethnic|ethnic,chin,cite,hint,nice,then,thin,etc,hit,ice,net,ten,the,tie
europe|peer,pour,pure,rope,our,per,pro
euros|ours,rose,sour,sure,user,our,sue,use
event|event,even,teen,vent,net,ten
events|event,seven,even,nest,teen,vent,net,see,set,ten
exact|exact,act,cat,eat,etc,tax,tea
excuse|excuse,cue,see,sex,sue,use
exist|exist,exit,site,its,set,sex,sit,six,tie
exists|exist,exit,site,its,set,sex,sit,six,tie
exotic|exotic,toxic,cite,exit,ceo,etc,ice,tie,toe
expand|expand,and,dna,end,pad,pan,pen
export|export,poet,port,rope,tore,opt,per,pet,pot,pro,toe,top
extend|extend,dent,need,next,teen,tend,end,net,ten
extent|extent,next,teen,tent,text,net,ten
extra|extra,rate,tear,art,ear,eat,era,rat,tax,tea
extras|extra,stare,east,rate,rest,seat,star,tear,art,ear,eat,era,rat,sea,set,sex,tax,tea
fabric|fabric,fair,air,bar,cab,car,far,rib
factor|factor,actor,craft,cart,coat,fact,act,art,car,cat,far,fat,for,rat
facts|cast,fact,fast,act,cat,fat
failed|field,ideal,aide,deal,fade,fail,file,idea,lead,leaf,life,aid,die,lid,lie
fairly|fairly,frail,airy,fail,fair,flay,rail,air,far,fly,lay
fallen|fall,lane,leaf,lean,all,fan
false|false,leaf,safe,sale,seal,self,sea
family|family,fail,film,flay,mail,aim,fly,lay,may
fares|fare,fear,safe,ear,era,far,sea
farmer|farmer,frame,fame,fare,farm,fear,rare,ream,rear,arm,ear,era,far
faster|faster,after,feast,stare,east,fare,fast,fate,fear,fret,rate,rest,safe,seat,star,tear,art,ear,eat,era,far,fat,rat,sea,set,tea
father|father,after,earth,heart,fare,fate,fear,fret,hate,hear,heat,rate,tear,art,ear,eat,era,far,fat,hat,her,rat,tea,the
favour|favor,four,far,for,fur,our
fears|fare,fear,safe,ear,era,far,sea
feels|else,feel,flee,self,fee,see
fellow|fellow,flew,flow,well,wolf,few,low,owe
female|female,flame,fame,feel,flee,leaf,male,meal,fee
fetish|shift,fish,fist,shit,site,this,fit,his,hit,its,set,she,sit,the,tie
field|field,file,life,die,lid,lie
fields|field,sidle,slide,file,life,self,side,slid,die,lid,lie
figure|figure,grief,fire,rife,urge,fug,fur
filed|field,file,life,die,lid,lie
filled|field,file,fill,life,die,ill,lid,lie
filter|filter,rifle,file,fire,flit,fret,left,life,lift,rife,tile,tire,fit,let,lie,tie
finals|final,fail,lain,nail,sail,fan,sin
finder|friend,finer,dire,find,fine,fire,rein,ride,rife,die,din,end,red,rid
finest|fine,fist,nest,site,fit,its,net,set,sin,sit,ten,tie
finger|finger,feign,finer,grief,fine,fire,grin,rein,rife,ring
fired|dire,fire,ride,rife,die,red,rid
first|first,fist,stir,fit,its,sir,sit
fisher|fresh,fire,fish,hers,hire,rife,rise,her,his,she,sir
fitted|fitted,fetid,diet,edit,tide,die,fit,tie
